year,agency,unit_id,fire_name,inc_num,alarm_date,cont_date,cause,report_ac,gis_acres,c_method,objective,unit,lat,lon
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,102.5157,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,1911-09-26 00:00:00,,14 - Unknown / Unidentified,,105.4599,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,193.7549,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,15096.02,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1911,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,145.8028,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1912,Contract County,Los Angeles County, ,0,1912-08-23 00:00:00,,14 - Unknown / Unidentified,,1101.528,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1912,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,108.2926,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,166.1333,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,8355.295,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,157.088,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,246.6926,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,504.619,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,1913-08-03 00:00:00,,14 - Unknown / Unidentified,,180.2631,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,1913-09-13 00:00:00,,14 - Unknown / Unidentified,,2727.312,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,323.0472,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,534.0189,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,1913-06-04 00:00:00,,14 - Unknown / Unidentified,,185.5869,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,225.0656,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,142.4418,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1913,Contract County,Los Angeles County, ,0,1913-06-30 00:00:00,,14 - Unknown / Unidentified,,527.0746,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1914,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,1710.598,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1915,Contract County,Los Angeles County,CASTAIC,0,1915-06-23 00:00:00,,14 - Unknown / Unidentified,,413.9808,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1915,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,15096.02,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1916,Contract County,Los Angeles County,SHEEP MT. FIRE,0,1916-08-30 00:00:00,,14 - Unknown / Unidentified,,370.7311,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1916,Contract County,Los Angeles County,BUCKHORN,0,1916-11-13 00:00:00,,14 - Unknown / Unidentified,,257.6088,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1917,Contract County,Los Angeles County,HASTINGS RANCH,0,1917-09-06 00:00:00,,14 - Unknown / Unidentified,,349.8555,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1917,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,313.334,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1917,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,214.1472,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1917,Contract County,Los Angeles County,PALMER CYN,0,1917-09-28 00:00:00,,14 - Unknown / Unidentified,,199.4348,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1919,Contract County,Los Angeles County,RAVENNA,0,1919-10-06 00:00:00,,14 - Unknown / Unidentified,,71373.15,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1919,Contract County,Los Angeles County,SAN GABRIEL,0,1919-09-12 00:00:00,,14 - Unknown / Unidentified,,54609.77,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1919,Contract County,Los Angeles County,MT. HAWKINS FIRE,0,1919-06-02 00:00:00,,14 - Unknown / Unidentified,,262.5376,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,1854.076,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,3338.814,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County,CHARLIE CYN,0,1921-09-28 00:00:00,,14 - Unknown / Unidentified,,4581.239,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County,RUBY CYN,0,1921-08-24 00:00:00,,14 - Unknown / Unidentified,,1000.547,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,311.1549,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,908.0116,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County,RAVENNA FIRE,0,1921-10-29 00:00:00,,14 - Unknown / Unidentified,,207.8233,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,618.1699,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1921,Contract County,Los Angeles County,470 AC.,0,,,14 - Unknown / Unidentified,,469.9297,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,1658.892,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,517.0081,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,515.1915,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County,BOUQUET,0,1922-07-30 00:00:00,,14 - Unknown / Unidentified,,1608.008,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,554.8376,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County,SOLEDAD,0,1922-07-06 00:00:00,,14 - Unknown / Unidentified,,409.9059,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1922,Contract County,Los Angeles County,MINT CYN,0,1922-09-17 00:00:00,,14 - Unknown / Unidentified,,20512.11,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1923,Contract County,Los Angeles County,SANTA FEE,0,1923-07-25 00:00:00,,14 - Unknown / Unidentified,,609.3534,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1923,Contract County,Los Angeles County,RIDGE,0,1923-07-26 00:00:00,,14 - Unknown / Unidentified,,1044.075,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1923,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,284.8552,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1923,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,119.058,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1923,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,314.2058,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1924,Contract County,Los Angeles County, ,0,1924-07-10 00:00:00,,14 - Unknown / Unidentified,,1280.652,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1924,Contract County,Los Angeles County,BEE CYN,0,1924-06-15 00:00:00,,14 - Unknown / Unidentified,,1710.446,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1924,Contract County,Los Angeles County,SAN GABRIEL,0,1924-08-31 00:00:00,,14 - Unknown / Unidentified,,43049.91,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1925,Contract County,Los Angeles County,HELL HOLE FIRE,0,1925-09-18 00:00:00,,14 - Unknown / Unidentified,,5730.613,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1925,Contract County,Los Angeles County,TOPANGA P.O.,0,1925-03-02 00:00:00,,14 - Unknown / Unidentified,,172.1039,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1925,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,555.7086,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1926,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,336.7585,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1926,Contract County,Los Angeles County,GOVERNMENT FIRE,0,1926-07-03 00:00:00,,14 - Unknown / Unidentified,,282.7834,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1926,Contract County,Los Angeles County,OLD TOPANGA NO. 2,0,1926-09-12 00:00:00,,14 - Unknown / Unidentified,,137.4709,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1926,Contract County,Los Angeles County,MONTGOMERY RANCH,0,1926-07-15 00:00:00,,14 - Unknown / Unidentified,,117.8923,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,PHILLIPS NO. 51,0,1927-08-10 00:00:00,,14 - Unknown / Unidentified,,364.0066,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,WEBB SCHOOL NO. 26,0,1927-07-03 00:00:00,,14 - Unknown / Unidentified,,855.144,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,PROPERTY FLATS NO. 3,0,1927-12-03 00:00:00,,14 - Unknown / Unidentified,,2091.606,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,SANTASUSANA-VENT. 18,0,1927-07-18 00:00:00,,14 - Unknown / Unidentified,,649.1638,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,CARTMAN FIRE #11,0,1927-07-16 00:00:00,,14 - Unknown / Unidentified,,223.0739,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,386.8442,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,MALIBU JUNCT NO 22,0,1927-07-24 00:00:00,,14 - Unknown / Unidentified,,358.8789,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,COOPER NO. 1,0,1927-10-01 00:00:00,,14 - Unknown / Unidentified,,3177.558,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,HARRISON RANCH NO. 5,0,1927-09-20 00:00:00,,14 - Unknown / Unidentified,,324.8636,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,LIEBRE,0,1927-08-21 00:00:00,,14 - Unknown / Unidentified,,17957.34,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,MINT CYN,0,1927-05-25 00:00:00,,14 - Unknown / Unidentified,,239.9794,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,AUGUSTINE FIRE 18,0,1927-08-25 00:00:00,,14 - Unknown / Unidentified,,9156.504,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1927,Contract County,Los Angeles County,VERDUGO HILLS,0,1927-12-05 00:00:00,,14 - Unknown / Unidentified,,4427.86,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,BREA SHELL NO. 24,0,1928-06-03 00:00:00,,14 - Unknown / Unidentified,,167.3604,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,BRADBURY NO. 62,0,1928-06-15 00:00:00,,14 - Unknown / Unidentified,,226.7873,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,DIAMOND NO. 101,0,1928-09-23 00:00:00,,14 - Unknown / Unidentified,,261.0069,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,QUINN 22,0,1928-06-02 00:00:00,,14 - Unknown / Unidentified,,103.9753,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,EDISON-VERDUGO,0,1928-02-09 00:00:00,,14 - Unknown / Unidentified,,343.1639,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,WIKIUP,0,1928-07-15 00:00:00,,14 - Unknown / Unidentified,,356.1462,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,380.7975,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,107.0724,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,RIDGE FIRE #98,0,1928-09-21 00:00:00,,14 - Unknown / Unidentified,,43472.38,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,LAS FLORES NO. 59,0,1928-11-17 00:00:00,,14 - Unknown / Unidentified,,273.7857,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,CARMICHEAL RANCH #14,0,1928-05-26 00:00:00,,14 - Unknown / Unidentified,,1542.936,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,RIDGE ROUTE NO. 60,0,1928-07-06 00:00:00,,14 - Unknown / Unidentified,,741.7037,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,OAKLAND RIDGE RTE 62,0,1928-07-08 00:00:00,,14 - Unknown / Unidentified,,1002.889,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County, ,0,1928-06-27 00:00:00,,14 - Unknown / Unidentified,,293.3799,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,1010.768,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,RUSSELL OIL WELL #60,0,1928-11-20 00:00:00,,14 - Unknown / Unidentified,,1222.434,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,WALKER NO. 97,0,1928-09-21 00:00:00,,14 - Unknown / Unidentified,,1683.827,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,BOUQUET CYN,0,1928-06-08 00:00:00,,14 - Unknown / Unidentified,,193.4357,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1928,Contract County,Los Angeles County,BRUSH FLATS NO. 12,0,1928-05-06 00:00:00,,14 - Unknown / Unidentified,,241.2338,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,FORD NO. 125,0,1929-10-21 00:00:00,,14 - Unknown / Unidentified,,197.185,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,GRIFFITH PARK 113A,0,1929-12-20 00:00:00,,14 - Unknown / Unidentified,,451.8104,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,COLDWATER CYN NO. 48,0,1929-08-07 00:00:00,,14 - Unknown / Unidentified,,211.7504,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,BOWMAN RANCH NO. 88,0,1929-09-06 00:00:00,,14 - Unknown / Unidentified,,318.4837,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,295.6537,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,SHEEP 18,0,1929-12-24 00:00:00,,14 - Unknown / Unidentified,,105.4104,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,WORKMAN NO. 89,0,1929-08-05 00:00:00,,14 - Unknown / Unidentified,,306.8882,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,KELLY NO. 41,0,1929-06-18 00:00:00,,14 - Unknown / Unidentified,,1346.531,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,CURAN #17,0,1929-06-20 00:00:00,,14 - Unknown / Unidentified,,139.0957,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,RYAN 116,0,1929-09-16 00:00:00,,14 - Unknown / Unidentified,,543.0776,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,LE CLAIRE NO. 67,0,1929-07-08 00:00:00,,14 - Unknown / Unidentified,,162.0858,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,ROCK PIT NO. 46,0,1929-06-21 00:00:00,,14 - Unknown / Unidentified,,145.0899,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,BONITA NO. 28,0,1929-05-29 00:00:00,,14 - Unknown / Unidentified,,145.0766,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,FISH CYN,0,1929-10-22 00:00:00,,14 - Unknown / Unidentified,,186.8018,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1929,Contract County,Los Angeles County,GLENDORA HILL NO. 85,0,1929-08-04 00:00:00,,14 - Unknown / Unidentified,,345.9245,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1930,Contract County,Los Angeles County,POTRERO NO. 42,0,,,14 - Unknown / Unidentified,,8783.472,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1930,Contract County,Los Angeles County,TOWER NO. 88,0,1930-08-04 00:00:00,,14 - Unknown / Unidentified,,231.6868,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1930,Contract County,Los Angeles County, ,0,1930-07-09 00:00:00,,14 - Unknown / Unidentified,,242.5962,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1931,Contract County,Los Angeles County,HUGHES #101,0,1931-07-26 00:00:00,,14 - Unknown / Unidentified,,342.9602,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1931,Contract County,Los Angeles County,LECKLER NO. 57,0,1931-07-04 00:00:00,,14 - Unknown / Unidentified,,153.217,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1931,Contract County,Los Angeles County,AGOURA NO. 26,0,1931-06-22 00:00:00,,14 - Unknown / Unidentified,,364.4729,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1931,Contract County,Los Angeles County,LA JOYA 112,0,1931-08-07 00:00:00,,14 - Unknown / Unidentified,,1975.132,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1932,Contract County,Los Angeles County,WILSON CYN,0,1932-10-15 00:00:00,,14 - Unknown / Unidentified,,755.9424,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1932,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,312.0382,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1932,Contract County,Los Angeles County,GEO F CYN NO 204,0,1932-11-11 00:00:00,,14 - Unknown / Unidentified,,171.384,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1932,Contract County,Los Angeles County, ,0,1932-09-13 00:00:00,,14 - Unknown / Unidentified,,149.7593,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1932,Contract County,Los Angeles County,MORGAN NO. 24,0,1932-09-06 00:00:00,,14 - Unknown / Unidentified,,549.8041,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1933,Contract County,Los Angeles County,MONTROSE/LA CRESC,0,1933-11-21 00:00:00,,14 - Unknown / Unidentified,,5094.765,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1933,Contract County,Los Angeles County, ,0,,,14 - Unknown / Unidentified,,137.7579,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1933,Contract County,Los Angeles County,AGOURA NO. 2,0,1933-01-10 00:00:00,,14 - Unknown / Unidentified,,314.9404,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1934,Contract County,Los Angeles County,BROWN MTN NO. 29,0,1934-07-26 00:00:00,,14 - Unknown / Unidentified,,3772.236,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1935,Contract County,Los Angeles County,CREEK NO. 161,0,1935-10-18 00:00:00,,14 - Unknown / Unidentified,,301.2887,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1935,Contract County,Los Angeles County,MALIBU FIRE,0,1935-10-23 00:00:00,,14 - Unknown / Unidentified,,28195.45,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1935,Contract County,Los Angeles County,SLONE NO. 156,0,1935-10-25 00:00:00,,14 - Unknown / Unidentified,,1005.9,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1935,Contract County,Los Angeles County,KAGEL NO. 58,0,1935-10-23 00:00:00,,14 - Unknown / Unidentified,,1903.796,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1935,Contract County,Los Angeles County,LAS FLORES NO. 57,0,1935-10-23 00:00:00,,14 - Unknown / Unidentified,,2521.064,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1936,Contract County,Los Angeles County,CLEARWATER NO. 16,0,1936-09-08 00:00:00,,14 - Unknown / Unidentified,,1452.5,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1936,Contract County,Los Angeles County,COLD CREEK NO. 35,0,1936-09-07 00:00:00,,14 - Unknown / Unidentified,,2642.521,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1936,Contract County,Los Angeles County,AMA VERDE 50,0,1936-06-22 00:00:00,,14 - Unknown / Unidentified,,264.2142,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1936,Contract County,Los Angeles County,BARLEY FLAT,0,1936-09-10 00:00:00,,14 - Unknown / Unidentified,,186.2752,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1936,Contract County,Los Angeles County,MEDEA FIRE NO. 23,0,1936-06-20 00:00:00,,14 - Unknown / Unidentified,,141.0958,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
1937,Contract County,Los Angeles County,VERDUGO WOODLNDS #90,0,1937-12-21 00:00:00,,14 - Unknown / Unidentified,,338.535,,Suppression (Wildfire),Los Angeles County,34.05513,-118.25703
